model,norm_ll,pred_time,roc_auc,source,target,train_norm_ll,train_roc_auc,train_time
Logistic Regression,0.939385476039,7.39097595215e-05,0.999934559257,from scratch,0,0.945905877076,1.0,6.43171310425
Logistic Regression,0.944404800904,0.000202894210815,0.99960735554,sklearn,0,0.992366908496,1.0,0.0375850200653
Decision Tree,0.498600873231,0.00262093544006,0.973431058177,from scratch,0,0.963695460296,0.999764769533,4.53616809845
Decision Tree,0.341232615268,0.000690937042236,0.971336954388,sklearn,0,0.970370341229,0.999829457911,0.009840965271
Random Forest,0.907404460426,0.152006149292,1.0,from scratch,0,0.917567636777,0.999958834668,52.116809845
Random Forest,0.904450448372,0.0412468910217,1.0,sklearn,0,0.905770435129,0.999870623243,0.262231111526
Logistic Regression,0.848889106451,7.70092010498e-05,0.998307656396,from scratch,1,0.813003960352,0.995579358504,6.90585899353
Logistic Regression,0.886955955812,0.00019907951355,0.99795751634,sklearn,1,0.93417769777,0.999633092674,0.0381860733032
Decision Tree,-0.0224261587754,0.00360894203186,0.945845004669,from scratch,1,0.869495181642,0.996822109125,7.21221590042
Decision Tree,0.476131796684,0.000349998474121,0.970121381886,sklearn,1,0.885696784377,0.9976565274,0.00836396217346
Random Forest,0.723805507932,0.150655031204,0.998424369748,from scratch,1,0.768005638826,0.998952538762,54.199461937
Random Forest,0.702273358776,0.0316770076752,0.997899159664,sklearn,1,0.756174853358,0.999023553083,0.195745944977
Logistic Regression,0.909324273905,5.57899475098e-05,1.0,from scratch,2,0.919398549013,1.0,6.31412601471
Logistic Regression,0.980893749003,0.000169992446899,1.0,sklearn,2,0.989036909321,1.0,0.0324809551239
Decision Tree,0.0695591550741,0.00289487838745,0.942188902381,from scratch,2,0.86374552641,0.998249162506,6.22152709961
Decision Tree,0.0309317384256,0.000168800354004,0.924766379811,sklearn,2,0.909055568413,0.998097465394,0.0066990852356
Random Forest,0.744944101188,0.146800994873,0.998891294018,from scratch,2,0.807904884526,0.999943113583,51.4001009464
Random Forest,0.732295888425,0.0333180427551,0.998996885064,sklearn,2,0.78539503155,0.999987358574,0.237967014313
Logistic Regression,0.832566011866,6.41345977783e-05,0.995698590381,from scratch,3,0.851686841373,0.998820437599,6.20821499825
Logistic Regression,0.852531979446,0.000211954116821,0.993366500829,sklearn,3,0.953926465688,0.999834983498,0.0374021530151
Decision Tree,0.252901776351,0.00276398658752,0.944962686567,from scratch,3,0.799231641545,0.99175528664,6.26993584633
Decision Tree,0.176953313195,0.000211000442505,0.939728441128,sklearn,3,0.858932627084,0.995740129569,0.00694608688354
Random Forest,0.657510252666,0.13572716713,0.993625621891,from scratch,3,0.699913314491,0.997995355091,56.2145848274
Random Forest,0.671218204661,0.0589499473572,0.996165008292,sklearn,3,0.707818195723,0.998453734262,0.234374046326
Logistic Regression,0.928162832342,5.69820404053e-05,1.0,from scratch,4,0.929172201811,0.999732002477,7.87801003456
Logistic Regression,0.80222676069,0.00020694732666,0.994689542484,sklearn,4,0.988794806804,1.0,0.0364229679108
Decision Tree,-0.470175008734,0.00282907485962,0.956932773109,from scratch,4,0.860227038475,0.9964266997,7.41789579391
Decision Tree,0.425964904539,0.000240087509155,0.969829598506,sklearn,4,0.876117977592,0.996861451236,0.00806403160095
Random Forest,0.809367282331,0.152275085449,0.999766573296,from scratch,4,0.822462148831,0.999082852923,54.6168420315
Random Forest,0.763016642657,0.0362467765808,0.999883286648,sklearn,4,0.789071863996,0.999023297918,0.214951992035
Logistic Regression,0.890476697157,8.60691070557e-05,0.9983429229,from scratch,5,0.909207240862,0.999348134762,7.02078509331
Logistic Regression,0.912549940793,0.000200986862183,0.997192174914,sklearn,5,0.984083371206,1.0,0.0411109924316
Decision Tree,0.181464726182,0.00273203849792,0.974223245109,from scratch,5,0.875816429648,0.998715631857,6.67948007584
Decision Tree,0.156486693294,0.000282049179077,0.967686996548,sklearn,5,0.908330432525,0.998334839293,0.00628614425659
Random Forest,0.727982867158,0.155301094055,0.995627157652,from scratch,5,0.772299048825,0.999122240867,55.4964950085
Random Forest,0.734198241979,0.0356800556183,0.993141542002,sklearn,5,0.785688072199,0.999425584097,0.22278881073
Logistic Regression,0.917275619177,5.57899475098e-05,0.998628257888,from scratch,6,0.935867821531,0.999781415456,6.68111205101
Logistic Regression,0.93508555689,0.000200033187866,0.998518518519,sklearn,6,0.986156216227,1.0,0.0365769863129
Decision Tree,0.691241521353,0.00278186798096,0.984526748971,from scratch,6,0.930421871179,0.998791713217,5.53776097298
Decision Tree,0.691166934181,0.000180006027222,0.987983539095,sklearn,6,0.944222746872,0.99928352844,0.0052490234375
Random Forest,0.833590194554,0.140326023102,0.99561042524,from scratch,6,0.859660069807,0.999751056492,52.0519750118
Random Forest,0.825963550228,0.0337269306183,0.997366255144,sklearn,6,0.847831440373,0.999744984699,0.198327064514
Logistic Regression,0.859372060226,6.19888305664e-05,0.996839406047,from scratch,7,0.887295719938,0.998699368265,6.62428998947
Logistic Regression,0.92258139938,0.000209093093872,0.996779772199,sklearn,7,0.98354070055,1.0,0.0355038642883
Decision Tree,-0.505998950015,0.00262904167175,0.929333889916,from scratch,7,0.860473441425,0.997650471704,5.69299006462
Decision Tree,-0.056673307564,0.000172853469849,0.931838511539,sklearn,7,0.916598075183,0.998555519593,0.00546598434448
Random Forest,0.771050956284,0.149523973465,0.997793547618,from scratch,7,0.832461945296,0.999712302658,49.7889459133
Random Forest,0.742343252885,0.0345048904419,0.996362335261,sklearn,7,0.810084473367,0.99983217655,0.201950073242
Logistic Regression,0.590828406888,6.00814819336e-05,0.958971912458,from scratch,8,0.724302003581,0.990053387175,6.89738488197
Logistic Regression,0.430007448566,0.000220060348511,0.955155346174,sklearn,8,0.842793325275,0.995683194807,0.04021692276
Decision Tree,0.42251126152,0.00325107574463,0.959091180154,from scratch,8,0.806549491741,0.993496921876,8.01317596436
Decision Tree,-0.278964327807,0.000566959381104,0.945792832011,sklearn,8,0.801562625067,0.991310648945,0.00833010673523
Random Forest,0.470502557479,0.146759986877,0.971435386726,from scratch,8,0.560846674175,0.990418798231,54.0630810261
Random Forest,0.459600374937,0.0335190296173,0.974476712982,sklearn,8,0.555906161625,0.989830424496,0.236940860748
Logistic Regression,0.787543434411,5.88893890381e-05,0.995103314679,from scratch,9,0.805724828813,0.996776217839,6.62255001068
Logistic Regression,0.838653612625,0.000195980072021,0.996448557899,sklearn,9,0.937386643575,0.999274033788,0.0358009338379
Decision Tree,0.572767100823,0.00297403335571,0.966368919501,from scratch,9,0.794052295764,0.991897478805,7.85721111298
Decision Tree,-0.0178292408392,0.00018310546875,0.877475247525,sklearn,9,0.838074542485,0.994376837986,0.00815796852112
Random Forest,0.642275785404,0.147166967392,0.989776151528,from scratch,9,0.653781748906,0.990088715532,53.5632100105
Random Forest,0.643914576894,0.0422549247742,0.990529487731,sklearn,9,0.662592709993,0.9916883021,0.214355945587
Logistic Regression,0.93185269759,6.19888305664e-05,0.999677141627,from scratch,0,0.947237490811,1.0,6.69428300858
Logistic Regression,0.954929476993,0.000208139419556,0.999784761085,sklearn,0,0.992092572666,1.0,0.0355188846588
Decision Tree,0.438723124868,0.00310397148132,0.958943176926,from scratch,0,0.935283592131,0.999551066218,5.02582216263
Decision Tree,0.559704572225,0.000169038772583,0.958512699096,sklearn,0,0.960962252564,0.999576006983,0.00462913513184
Random Forest,0.880078824544,0.138224124908,0.998493327594,from scratch,0,0.909403083883,0.999925177703,49.7696368694
Random Forest,0.881667416542,0.0372347831726,0.99865475678,sklearn,0,0.913250804807,0.999981294426,0.21434211731
Logistic Regression,0.808073082503,5.60283660889e-05,0.995390946502,from scratch,1,0.841965864441,0.998003257525,6.803180933
Logistic Regression,0.618300739732,0.000200986862183,0.99012345679,sklearn,1,0.948551895782,0.999951740363,0.0367069244385
Decision Tree,0.233320899459,0.00279593467712,0.984691358025,from scratch,1,0.823844481005,0.996452916692,7.18830394745
Decision Tree,0.187664616749,0.000211954116821,0.986556927298,sklearn,1,0.908608411262,0.998069614526,0.00850701332092
Random Forest,0.732713886173,0.160942077637,0.998573388203,from scratch,1,0.758604915803,0.998654762623,58.8340470791
Random Forest,0.729833316374,0.035197019577,0.997914951989,sklearn,1,0.753100159144,0.998654762623,0.206008911133
Logistic Regression,0.890846600337,5.60283660889e-05,0.999890260631,from scratch,2,0.915979225977,0.999968824043,6.6050131321
Logistic Regression,0.978036970854,0.000211000442505,1.0,sklearn,2,0.989683901817,1.0,0.0367588996887
Decision Tree,-0.338070291002,0.00290417671204,0.915994513032,from scratch,2,0.82993745128,0.998123207382,7.24891591072
Decision Tree,0.204507894031,0.00019907951355,0.943319615912,sklearn,2,0.874166249484,0.996371118593,0.00736999511719
Random Forest,0.751030981978,0.146358966827,0.999122085048,from scratch,2,0.780898791073,0.999831649832,53.5636360645
Random Forest,0.757372970477,0.0343351364136,0.998134430727,sklearn,2,0.78841095003,0.999931412894,0.213594913483
